record_no,iso_code,country,population,year,co2,co2_per_capita,co2_per_gdp,co2_growth_prct,consumption_co2,consumption_co2_per_capita,share_global_co2
0,AFG,Afghanistan,27101000.0,2007,2.269,0.084,0.057,38.721,,,0.006999999999999999
1,AFG,Afghanistan,27722000.0,2008,4.2,0.151,0.104,85.115,,,0.013
2,AFG,Afghanistan,28395000.0,2009,6.74,0.237,0.142,60.494,,,0.021
3,AFG,Afghanistan,29186000.0,2010,8.398,0.28800000000000003,0.171,24.597,,,0.025
4,AFG,Afghanistan,30117000.0,2011,12.106,0.402,0.227,44.155,,,0.035
5,AFG,Afghanistan,31161000.0,2012,10.219,0.328,0.173,-15.59,,,0.029
6,,Africa,963022016.0,2007,1120.938,1.1909999999999998,0.317,3.891,,,3.582
7,,Africa,987624000.0,2008,1173.883,1.216,0.306,4.723,,,3.675
8,,Africa,1013046016.0,2009,1185.946,1.197,0.303,1.028,,,3.769
9,,Africa,1039304000.0,2010,1206.78,1.188,0.277,1.757,,,3.642
10,,Africa,1066409984.0,2011,1234.606,1.1840000000000002,0.267,2.306,,,3.609
11,,Africa,1094343040.0,2012,1240.355,1.159,0.255,0.466,,,3.568
12,ALB,Albania,3034000.0,2007,3.829,1.262,0.16699999999999998,-0.381,5.398,1.779,0.012
13,ALB,Albania,3003000.0,2008,4.272,1.423,0.166,11.579,6.055,2.016,0.013
14,ALB,Albania,2973000.0,2009,4.254,1.431,0.152,-0.429,6.176,2.0780000000000003,0.014
15,ALB,Albania,2948000.0,2010,4.448,1.509,0.159,4.565,6.058,2.055,0.013
16,ALB,Albania,2929000.0,2011,5.0310000000000015,1.7180000000000002,0.177,13.097,6.29,2.147,0.015
17,ALB,Albania,2914000.0,2012,4.668,1.602,0.15,-7.21,5.9670000000000005,2.048,0.013
18,DZA,Algeria,34167000.0,2007,108.4,3.173,0.272,8.182,,,0.34600000000000003
19,DZA,Algeria,34731000.0,2008,109.032,3.139,0.258,0.583,,,0.341
20,DZA,Algeria,35334000.0,2009,120.186,3.401,0.307,10.23,,,0.382
21,DZA,Algeria,35977000.0,2010,117.814,3.275,0.263,-1.973,,,0.35600000000000004
22,DZA,Algeria,36661000.0,2011,119.807,3.268,0.249,1.6909999999999998,,,0.35
23,DZA,Algeria,37384000.0,2012,128.11,3.427,0.26,6.93,,,0.369
24,AND,Andorra,83000.0,2007,0.539,6.489,,-1.342,,,0.002
25,AND,Andorra,84000.0,2008,0.539,6.412000000000001,,,,,0.002
26,AND,Andorra,84000.0,2009,0.517,6.15,,-4.082,,,0.002
27,AND,Andorra,84000.0,2010,0.517,6.15,,,,,0.002
28,AND,Andorra,84000.0,2011,0.491,5.845,,-4.965,,,0.001
29,AND,Andorra,82000.0,2012,0.487,5.943,,-0.746,,,0.001
30,AGO,Angola,20905000.0,2007,24.976,1.195,0.343,13.002,,,0.08
31,AGO,Angola,21696000.0,2008,25.486,1.175,0.28600000000000003,2.042,,,0.08
32,AGO,Angola,22514000.0,2009,27.566,1.224,0.365,8.158999999999999,,,0.08800000000000001
33,AGO,Angola,23356000.0,2010,28.864,1.236,0.302,4.712,,,0.087
34,AGO,Angola,24221000.0,2011,30.33,1.252,0.247,5.0760000000000005,,,0.08900000000000001
35,AGO,Angola,25108000.0,2012,33.801,1.346,0.264,11.444,,,0.097
36,AIA,Anguilla,13000.0,2007,0.15,11.556,,5.127999999999999,,,0.0
37,AIA,Anguilla,13000.0,2008,0.15,11.556,,,,,0.0
38,AIA,Anguilla,13000.0,2009,0.147,11.274,,-2.439,,,0.0
39,AIA,Anguilla,13000.0,2010,0.15,11.556,,2.5,,,0.0
40,AIA,Anguilla,14000.0,2011,0.14300000000000002,10.207,,-4.878,,,0.0
41,AIA,Anguilla,14000.0,2012,0.14300000000000002,10.207,,,,,0.0
42,ATG,Antigua and Barbuda,84000.0,2007,0.407,4.842,,5.714,,,0.001
43,ATG,Antigua and Barbuda,85000.0,2008,0.418,4.914,,2.7030000000000003,,,0.001
44,ATG,Antigua and Barbuda,87000.0,2009,0.443,5.096,,6.14,,,0.001
45,ATG,Antigua and Barbuda,88000.0,2010,0.454,5.1629999999999985,,2.479,,,0.001
46,ATG,Antigua and Barbuda,89000.0,2011,0.443,4.981,,-2.419,,,0.001
47,ATG,Antigua and Barbuda,90000.0,2012,0.458,5.089,,3.306,,,0.001
48,ARG,Argentina,39684000.0,2007,174.24599999999995,4.391,0.251,-0.208,155.085,3.908,0.557
49,ARG,Argentina,40080000.0,2008,188.106,4.6930000000000005,0.254,7.954,170.17700000000005,4.246,0.589
50,ARG,Argentina,40483000.0,2009,178.949,4.42,0.259,-4.868,160.037,3.953,0.569
51,ARG,Argentina,40896000.0,2010,186.733,4.566,0.242,4.35,174.548,4.268,0.564
52,ARG,Argentina,41320000.0,2011,190.274,4.605,0.228,1.896,182.577,4.419,0.556
53,ARG,Argentina,41755000.0,2012,191.715,4.591,0.229,0.757,188.108,4.505,0.552
54,ARM,Armenia,2933000.0,2007,5.1,1.739,0.256,15.872,7.415,2.528,0.016
55,ARM,Armenia,2908000.0,2008,5.575,1.917,0.257,9.305,6.672999999999999,2.295,0.017
56,ARM,Armenia,2888000.0,2009,4.363,1.511,0.215,-21.731,5.8279999999999985,2.018,0.014
57,ARM,Armenia,2877000.0,2010,4.253,1.4780000000000002,0.189,-2.5340000000000003,5.47,1.901,0.013
58,ARM,Armenia,2877000.0,2011,4.9689999999999985,1.727,0.2,16.839000000000002,5.707000000000002,1.984,0.015
59,ARM,Armenia,2884000.0,2012,5.747999999999998,1.993,0.222,15.685,6.313,2.189,0.017
60,ABW,Aruba,101000.0,2007,2.821,27.933000000000003,,3.914,,,0.009000000000000001
61,ABW,Aruba,101000.0,2008,2.656,26.301,,-5.8439999999999985,,,0.008
62,ABW,Aruba,101000.0,2009,2.627,26.011,,-1.103,,,0.008
63,ABW,Aruba,102000.0,2010,2.506,24.57,,-4.603,,,0.008
64,ABW,Aruba,102000.0,2011,2.499,24.499,,-0.292,,,0.006999999999999999
65,ABW,Aruba,103000.0,2012,1.348,13.091,,-46.041,,,0.004
66,,Asia,4071215104.0,2007,13919.476,3.42,0.449,5.547999999999999,,,44.48
67,,Asia,4117572096.0,2008,14708.063,3.573,0.449,5.665,,,46.04
68,,Asia,4163713024.0,2009,15276.685,3.67,0.453,3.866,,,48.553
69,,Asia,4209594112.0,2010,16327.225,3.88,0.436,6.877000000000002,,,49.279
70,,Asia,4255190016.0,2011,17520.494,4.119,0.429,7.308,,,51.215
71,,Asia,4300462080.0,2012,18238.782,4.242,0.431,4.1,,,52.471
72,,Asia (excl. China & India),,2007,5699.81,3.699,0.327,2.688,,,18.214
73,,Asia (excl. China & India),,2008,5870.299,3.758,0.322,2.991,,,18.376
74,,Asia (excl. China & India),,2009,5905.358,3.729,0.327,0.597,,,18.768
75,,Asia (excl. China & India),,2010,6148.2040000000015,3.83,0.311,4.112,,,18.557
76,,Asia (excl. China & India),,2011,6366.23,3.912,0.297,3.5460000000000003,,,18.609
77,,Asia (excl. China & India),,2012,6663.57,4.04,0.303,4.671,,,19.17
78,AUS,Australia,20916000.0,2007,399.842,19.117,0.456,1.824,370.458,17.712,1.278
79,AUS,Australia,21332000.0,2008,404.417,18.958,0.434,1.144,364.061,17.066,1.266
80,AUS,Australia,21751000.0,2009,407.463,18.733,0.44,0.753,388.043,17.84,1.295
81,AUS,Australia,22155000.0,2010,405.503,18.303,0.408,-0.481,383.216,17.297,1.224
82,AUS,Australia,22538000.0,2011,404.173,17.933,0.392,-0.328,390.93,17.345,1.181
83,AUS,Australia,22904000.0,2012,406.506,17.748,0.399,0.5770000000000001,411.987,17.988,1.169
84,AUT,Austria,8314000.0,2007,74.263,8.932,0.22,-3.428,102.86,12.372,0.237
85,AUT,Austria,8342000.0,2008,73.58800000000002,8.821,0.215,-0.908,101.314,12.145,0.23
86,AUT,Austria,8373000.0,2009,67.494,8.061,0.201,-8.282,92.83,11.087,0.215
87,AUT,Austria,8410000.0,2010,72.012,8.562999999999999,0.211,6.694,98.486,11.711,0.217
