record_no,iso_code,geo_reg,year,population,gdp,co2,co2_growth_prct,co2_growth_abs,consumption_co2,trade_co2,trade_co2_share,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,cement_co2,coal_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cement_co2_per_capita,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita
7,AFG,Afghanistan,2007,27101000,39628988416.0,2.269,38.721,0.633,0.0,0.0,0.0,0.084,0.0,0.006999999999999999,80.818,0.057,0.0,0.012,0.7490000000000001,0.0,0.308,1.2,0.0,0.0,0.028,0.0,0.011,0.044
8,AFG,Afghanistan,2008,27722000,40561582080.0,4.2,85.115,1.931,0.0,0.0,0.0,0.151,0.0,0.013,85.01700000000002,0.104,0.0,0.015,1.077,0.0,0.297,2.81,0.0,0.001,0.039,0.0,0.011,0.101
9,AFG,Afghanistan,2009,28395000,47539798016.0,6.74,60.494,2.54,0.0,0.0,0.0,0.237,0.0,0.021,91.757,0.142,0.0,0.013,1.513,0.0,0.271,4.9430000000000005,0.0,0.0,0.053,0.0,0.01,0.174
10,AFG,Afghanistan,2010,29186000,49068883968.0,8.398,24.597,1.658,0.0,0.0,0.0,0.28800000000000003,0.0,0.025,100.155,0.171,0.0,0.015,2.246,0.0,0.271,5.8660000000000005,0.0,0.0,0.077,0.0,0.009000000000000001,0.201
11,AFG,Afghanistan,2011,30117000,53326336000.0,12.106,44.155,3.708,0.0,0.0,0.0,0.402,0.0,0.035,112.261,0.227,0.0,0.015,4.181,0.0,0.308,7.603,0.0,0.0,0.139,0.0,0.01,0.252
12,AFG,Afghanistan,2012,31161000,59166900224.0,10.219,-15.59,-1.887,0.0,0.0,0.0,0.328,0.0,0.029,122.479,0.173,0.0,0.029,3.125,0.0,0.308,6.756,0.0,0.001,0.1,0.0,0.01,0.217
27,notfound,Africa,2007,963022016,0.0,1120.938,3.891,41.981,0.0,0.0,0.0,1.1909999999999998,0.0,3.582,30384.4,0.317,0.0,50.723,428.041,74.926,190.925,376.323,0.0,0.054000000000000006,0.455,0.08,0.203,0.4
28,notfound,Africa,2008,987624000,0.0,1173.883,4.723,52.945,0.0,0.0,0.0,1.216,0.0,3.675,31558.283,0.306,0.0,53.625,452.25,70.559,194.433,403.016,0.0,0.056,0.468,0.073,0.201,0.417
29,notfound,Africa,2009,1013046016,0.0,1185.946,1.028,12.063,0.0,0.0,0.0,1.197,0.0,3.769,32744.229,0.303,0.0,59.25,440.989,59.289,191.767,434.65,0.0,0.06,0.445,0.06,0.194,0.439
30,notfound,Africa,2010,1039304000,0.0,1206.78,1.757,20.834,0.0,0.0,0.0,1.188,0.0,3.642,33951.009,0.277,0.0,59.218,439.305,62.855,200.428,444.973,0.0,0.058,0.4320000000000001,0.062,0.197,0.438
31,notfound,Africa,2011,1066409984,0.0,1234.606,2.306,27.825,0.0,0.0,0.0,1.1840000000000002,0.0,3.609,35185.615,0.267,0.0,59.037,429.485,55.351000000000006,220.902,469.831,0.0,0.057,0.412,0.053,0.212,0.451
32,notfound,Africa,2012,1094343040,0.0,1240.355,0.466,5.75,0.0,0.0,0.0,1.159,0.0,3.568,36425.97,0.255,0.0,67.543,426.07,57.00100000000001,231.541,458.2,0.0,0.063,0.398,0.053,0.21600000000000005,0.428
47,ALB,Albania,2007,3034000,22995980288.0,3.829,-0.381,-0.015,5.398,1.569,40.979,1.262,1.779,0.012,223.859,0.16699999999999998,0.235,0.348,0.073,0.0,0.033,3.375,0.0,0.115,0.024,0.0,0.011,1.112
48,ALB,Albania,2008,3003000,25764829184.0,4.272,11.579,0.443,6.055,1.783,41.725,1.423,2.016,0.013,228.132,0.166,0.235,0.359,0.103,0.0,0.015,3.796,0.0,0.12,0.034,0.0,0.005,1.264
49,ALB,Albania,2009,2973000,28006524928.0,4.254,-0.429,-0.018000000000000002,6.176,1.923,45.19600000000001,1.431,2.0780000000000003,0.014,232.386,0.152,0.221,0.4320000000000001,0.388,0.0,0.018000000000000002,3.415,0.0,0.145,0.131,0.0,0.006,1.149
50,ALB,Albania,2010,2948000,27897407488.0,4.448,4.565,0.194,6.058,1.61,36.189,1.509,2.055,0.013,236.834,0.159,0.217,0.502,0.429,0.0,0.026,3.492,0.0,0.17,0.145,0.0,0.009000000000000001,1.1840000000000002
51,ALB,Albania,2011,2929000,28451999744.0,5.0310000000000015,13.097,0.583,6.29,1.259,25.029,1.7180000000000002,2.147,0.015,241.864,0.177,0.221,0.6920000000000001,0.535,0.0,0.029,3.774,0.0,0.236,0.183,0.0,0.01,1.288
52,ALB,Albania,2012,2914000,31114752000.0,4.668,-7.21,-0.363,5.9670000000000005,1.2990000000000002,27.838,1.602,2.048,0.013,246.532,0.15,0.192,0.857,0.627,0.0,0.029,3.155,0.0,0.294,0.215,0.0,0.01,1.083
67,DZA,Algeria,2007,34167000,398000000000.0,108.4,8.182,8.199,0.0,0.0,0.0,3.173,0.0,0.34600000000000003,2785.76,0.272,0.0,6.999,3.012,8.991,51.076,38.322,0.0,0.205,0.08800000000000001,0.263,1.495,1.122
68,DZA,Algeria,2008,34731000,423000000000.0,109.032,0.583,0.632,0.0,0.0,0.0,3.139,0.0,0.341,2894.792,0.258,0.0,7.582999999999998,3.008,9.527,51.551,37.363,0.0,0.218,0.087,0.274,1.484,1.0759999999999998
69,DZA,Algeria,2009,35334000,392000000000.0,120.186,10.23,11.154000000000002,0.0,0.0,0.0,3.401,0.0,0.382,3014.978,0.307,0.0,8.221,1.594,10.585,54.894,44.89100000000001,0.0,0.233,0.045,0.3,1.554,1.27
70,DZA,Algeria,2010,35977000,448000000000.0,117.814,-1.973,-2.372,0.0,0.0,0.0,3.275,0.0,0.35600000000000004,3132.792,0.263,0.0,8.253,1.216,9.611,53.368,45.365,0.0,0.229,0.034,0.267,1.483,1.261
71,DZA,Algeria,2011,36661000,482000000000.0,119.807,1.6909999999999998,1.993,0.0,0.0,0.0,3.268,0.0,0.35,3252.599,0.249,0.0,8.187000000000001,1.048,6.932,56.721,46.92,0.0,0.223,0.029,0.189,1.547,1.28
72,DZA,Algeria,2012,37384000,493000000000.0,128.11,6.93,8.302999999999999,0.0,0.0,0.0,3.427,0.0,0.369,3380.7090000000007,0.26,0.0,7.6960000000000015,1.037,6.723,64.115,48.539,0.0,0.206,0.028,0.18,1.715,1.298
87,AND,Andorra,2007,83000,0.0,0.539,-1.342,-0.006999999999999999,0.0,0.0,0.0,6.489,0.0,0.002,8.72,0.0,0.0,0.0,0.0,0.0,0.0,0.539,0.0,0.0,0.0,0.0,0.0,6.489
